id,rol,victima_x,sexo,edad,fecha_fallecimiento,categoria_edad,n_victimas,fecha,anio,mes,dia,nombre_dia,laboral,hora_exacta,hora,categoria_hora,tipo_calle,calle,cruce,direccion_norm,comuna,latitud,longitud,participantes,victima_y,acusado
2016-0020,PEATON,PEATON,MASCULINO,59.0,2016-03-02,entre_40_y_60,1,2016-02-17,2016,2,17,miércoles,Laboral,16:00:00,16,tarde,CALLE,SUIPACHA,,SUIPACHA 156,1,-34.60653282,-58.37952223,PEATON-AUTO,PEATON,AUTO
2016-0021,CONDUCTOR,AUTO,MASCULINO,34.0,2016-02-17,entre_20_y_40,1,2016-02-17,2016,2,17,miércoles,Laboral,23:35:00,23,tarde-noche,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-34.63063795,-58.45157703,AUTO-AUTO,AUTO,AUTO
2016-0022,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41.0,,entre_40_y_60,1,2016-02-21,2016,2,21,domingo,No Laboral,06:00:00,6,mañana,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-34.61079875,-58.38144696,MOTO-AUTO,MOTO,AUTO
2016-0025,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,2016-02-28,entre_20_y_40,1,2016-02-28,2016,2,28,domingo,No Laboral,04:50:00,4,noche,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-34.70524971,-58.46244952,AUTO-AUTO,AUTO,AUTO
2016-0026,CONDUCTOR,AUTO,MASCULINO,30.0,2016-03-04,entre_20_y_40,1,2016-02-28,2016,2,28,domingo,No Laboral,07:30:00,7,mañana,CALLE,HOLMBERG,VEDIA,HOLMBERG y VEDIA,12,-34.54738649,-58.49216191,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2016-0027,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,,entre_20_y_40,1,2016-02-28,2016,2,28,domingo,No Laboral,09:35:00,9,mañana,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-34.63852623,-58.44497874,AUTO-AUTO,AUTO,AUTO
2016-0028,PEATON,PEATON,MASCULINO,50.0,2016-03-02,entre_40_y_60,1,2016-03-02,2016,3,2,miércoles,Laboral,10:00:00,10,mañana,AVENIDA,VIAMONTE,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,-34.60028648,-58.38199706,PEATON-CARGAS,PEATON,CARGAS
2016-0029,PEATON,PEATON,MASCULINO,38.0,2016-03-04,entre_20_y_40,1,2016-03-04,2016,3,4,viernes,Laboral,17:30:00,17,tarde,AVENIDA,CABILDO AV.,DEHEZA,CABILDO AV. y DEHEZA,12,-34.54153077,-58.47378664,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0031,CONDUCTOR,MOTO,MASCULINO,21.0,,entre_20_y_40,1,2016-03-08,2016,3,8,martes,Laboral,12:30:00,12,tarde,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-34.69843756,-58.47064556,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0034,PEATON,PEATON,MASCULINO,52.0,2016-03-12,entre_40_y_60,1,2016-03-12,2016,3,12,sábado,No Laboral,12:30:00,12,tarde,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-34.65076549,-58.40623949,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0035,CONDUCTOR,MOTO,MASCULINO,34.0,2016-03-13,entre_20_y_40,1,2016-03-13,2016,3,13,domingo,No Laboral,06:00:00,6,mañana,AVENIDA,CORRIENTES AV.,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,3,-34.60443527,-58.39228965,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0036,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36.0,2016-03-14,entre_20_y_40,1,2016-03-14,2016,3,14,lunes,Laboral,00:15:00,0,noche,CALLE,HERRERA,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",4,-34.63668504,-58.37813396,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0037,CONDUCTOR,MOTO,MASCULINO,20.0,2016-03-19,entre_20_y_40,1,2016-03-19,2016,3,19,sábado,No Laboral,11:00:00,11,mañana,AVENIDA,LAFUENTE AV.,QUIRNO,LAFUENTE AV. y QUIRNO,7,-34.64358293,-58.46275892,MOTO-MOTO,MOTO,MOTO
2016-0038,PEATON,PEATON,MASCULINO,29.0,2016-03-21,entre_20_y_40,1,2016-03-21,2016,3,21,lunes,Laboral,08:06:00,8,mañana,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",8,-34.67892743,-58.49683458,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0039,CONDUCTOR,MOTO,MASCULINO,20.0,2016-03-23,entre_20_y_40,1,2016-03-23,2016,3,23,miércoles,Laboral,01:50:00,1,noche,AVENIDA,"MITRE, BARTOLOME",PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-34.60883960,-58.40603217,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0041,CONDUCTOR,MOTO,MASCULINO,54.0,2016-03-29,entre_40_y_60,2,2016-03-29,2016,3,29,martes,Laboral,11:00:00,11,mañana,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-34.63350444,-58.46076550,MOTO-CARGAS,MOTO,CARGAS
2016-0041,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,0.0,2016-03-30,edad_desconocida,2,2016-03-29,2016,3,29,martes,Laboral,11:00:00,11,mañana,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-34.63350444,-58.46076550,MOTO-CARGAS,MOTO,CARGAS
2016-0043,PEATON,PEATON,FEMENINO,56.0,2016-03-30,entre_40_y_60,1,2016-03-30,2016,3,30,miércoles,Laboral,18:15:00,18,tarde-noche,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-34.67494416,-58.47832463,PEATON-CARGAS,PEATON,CARGAS
2016-0044,CONDUCTOR,MOTO,MASCULINO,24.0,2016-03-31,entre_20_y_40,1,2016-03-31,2016,3,31,jueves,Laboral,19:40:00,19,tarde-noche,AVENIDA,"MORENO, JOSE MARIA AV.",BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-34.63693953,-58.43213235,MULTIPLE,MOTO,MULTIPLE
2016-0045,CONDUCTOR,MOTO,MASCULINO,0.0,,edad_desconocida,1,2016-04-11,2016,4,11,lunes,Laboral,10:25:00,10,mañana,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-34.53476874,-58.46743471,MOTO-SD,MOTO,SD
2016-0047,PEATON,PEATON,MASCULINO,41.0,2016-04-15,entre_40_y_60,1,2016-04-15,2016,4,15,viernes,Laboral,05:30:00,5,noche,CALLE,LIMA,,LIMA 1483,1,-34.62571878,-58.38247061,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0048,PEATON,PEATON,FEMENINO,0.0,,edad_desconocida,1,2016-04-15,2016,4,15,viernes,Laboral,17:40:00,17,tarde,AVENIDA,CORRIENTES AV.,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,15,-34.59170240,-58.44759966,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0049,SD,SD,SD,0.0,,edad_desconocida,1,2016-04-17,2016,4,17,domingo,No Laboral,00:00:00,0,noche,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-34.63657525428238,-58.37714647568196,SD-SD,SD,SD
