id,rol,victima,sexo,edad,fecha_fallecimiento,categoria_edad
2016-0095,CONDUCTOR,MOTO,MASCULINO,29.0,2016-07-23,entre_20_y_40
2016-0096,CONDUCTOR,MOTO,MASCULINO,0.0,,edad_desconocida
2016-0097,PEATON,PEATON,MASCULINO,80.0,2016-08-12,mas_de_80
2016-0098,CONDUCTOR,MOTO,FEMENINO,43.0,,entre_40_y_60
2016-0099,CONDUCTOR,CARGAS,MASCULINO,45.0,,entre_40_y_60
2016-0100,CONDUCTOR,MOTO,MASCULINO,57.0,2016-08-03,entre_40_y_60
2016-0101,SD,SD,MASCULINO,67.0,,entre_60_y_80
2016-0102,CONDUCTOR,MOTO,MASCULINO,29.0,,entre_20_y_40
2016-0104,CONDUCTOR,MOTO,MASCULINO,21.0,2016-08-15,entre_20_y_40
2016-0105,PEATON,PEATON,MASCULINO,19.0,2016-08-26,entre_0_y_20
2016-0106,PEATON,PEATON,MASCULINO,38.0,,entre_20_y_40
2016-0107,CONDUCTOR,MOTO,MASCULINO,21.0,,entre_20_y_40
2016-0109,CONDUCTOR,AUTO,FEMENINO,53.0,2016-08-24,entre_40_y_60
2016-0110,PEATON,PEATON,MASCULINO,57.0,,entre_40_y_60
2016-0111,CONDUCTOR,MOTO,MASCULINO,27.0,2016-08-25,entre_20_y_40
2016-0112,CONDUCTOR,MOTO,MASCULINO,24.0,2016-08-27,entre_20_y_40
2016-0113,PEATON,PEATON,FEMENINO,60.0,,entre_60_y_80
2016-0114,CICLISTA,BICICLETA,FEMENINO,55.0,2016-08-31,entre_40_y_60
2016-0115,SD,SD,MASCULINO,0.0,,edad_desconocida
2016-0116,CONDUCTOR,MOTO,MASCULINO,30.0,2016-09-02,entre_20_y_40
2016-0117,CONDUCTOR,AUTO,MASCULINO,43.0,,entre_40_y_60
2016-0118,CONDUCTOR,AUTO,MASCULINO,27.0,2016-09-04,entre_20_y_40
2016-0119,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,0.0,,edad_desconocida
2016-0122,CICLISTA,BICICLETA,MASCULINO,49.0,2016-09-13,entre_40_y_60
2016-0123,CONDUCTOR,MOTO,FEMENINO,58.0,,entre_40_y_60
2016-0124,PEATON,PEATON,MASCULINO,67.0,,entre_60_y_80
2016-0125,CONDUCTOR,MOTO,MASCULINO,30.0,,entre_20_y_40
2016-0126,CONDUCTOR,AUTO,MASCULINO,37.0,,entre_20_y_40
2016-0126,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60.0,,entre_60_y_80
2016-0127,PEATON,PEATON,MASCULINO,50.0,,entre_40_y_60
2016-0128,PEATON,PEATON,FEMENINO,81.0,2016-10-02,mas_de_80
2016-0130,CONDUCTOR,MOTO,MASCULINO,29.0,2016-10-04,entre_20_y_40
2016-0131,PEATON,PEATON,MASCULINO,35.0,,entre_20_y_40
2016-0132,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30.0,2016-10-10,entre_20_y_40
2016-0133,CONDUCTOR,MOTO,MASCULINO,41.0,2016-10-25,entre_40_y_60
2016-0134,CONDUCTOR,MOTO,MASCULINO,25.0,2016-10-23,entre_20_y_40
2016-0135,PEATON,PEATON,MASCULINO,29.0,2016-10-25,entre_20_y_40
2016-0136,CONDUCTOR,MOTO,SD,0.0,,edad_desconocida
2016-0137,CONDUCTOR,MOTO,MASCULINO,30.0,,entre_20_y_40
2016-0138,CICLISTA,BICICLETA,FEMENINO,33.0,,entre_20_y_40
2016-0139,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35.0,,entre_20_y_40
2016-0140,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20.0,,entre_20_y_40
2016-0142,CONDUCTOR,MOTO,MASCULINO,46.0,2016-11-05,entre_40_y_60
2016-0143,CONDUCTOR,MOTO,MASCULINO,35.0,,entre_20_y_40
2016-0144,PEATON,PEATON,MASCULINO,83.0,,mas_de_80
2016-0145,CONDUCTOR,MOTO,MASCULINO,39.0,2016-11-07,entre_20_y_40
2016-0146,PEATON,PEATON,FEMENINO,29.0,,entre_20_y_40
2016-0147,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55.0,2016-11-16,entre_40_y_60
2016-0148,CONDUCTOR,MOTO,MASCULINO,0.0,,edad_desconocida
2016-0150,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41.0,2016-11-18,entre_40_y_60
2016-0151,PEATON,PEATON,SD,0.0,,edad_desconocida
2016-0152,CONDUCTOR,MOTO,MASCULINO,42.0,2016-11-24,entre_40_y_60
2016-0153,PEATON,PEATON,FEMENINO,83.0,2016-11-25,mas_de_80
2016-0154,CONDUCTOR,MOTO,MASCULINO,38.0,,entre_20_y_40
2016-0155,PEATON,PEATON,FEMENINO,29.0,,entre_20_y_40
